iter	Passed	Remaining
0	146	146190
1	147	73681
2	148	49477
3	150	37374
4	151	30116
5	152	25275
6	153	21812
7	154	19219
8	156	17200
9	157	15593
10	158	14271
11	159	13169
12	161	12236
13	162	11436
14	163	10744
15	164	10137
16	166	9602
17	167	9123
18	168	8696
19	169	8312
20	170	7965
21	172	7652
22	173	7366
23	174	7100
24	175	6855
25	176	6628
26	178	6421
27	179	6228
28	180	6048
29	181	5879
30	183	5722
31	184	5576
32	185	5438
33	186	5307
34	188	5184
35	189	5067
36	190	4957
37	191	4855
38	193	4756
39	194	4662
40	195	4572
41	196	4488
42	198	4414
43	199	4340
44	201	4271
45	202	4201
46	203	4135
47	205	4075
48	206	4012
49	208	3952
50	209	3894
51	210	3841
52	212	3789
53	213	3737
54	214	3687
55	215	3639
56	217	3597
57	219	3559
58	220	3517
59	221	3474
60	223	3432
61	224	3395
62	225	3356
63	226	3319
64	228	3283
65	229	3248
66	230	3214
67	232	3180
68	232	3142
69	234	3110
70	235	3079
71	236	3050
72	237	3020
73	239	2993
74	240	2964
75	241	2941
76	243	2918
77	244	2894
78	246	2870
79	247	2846
80	248	2823
81	250	2801
82	251	2781
83	253	2761
84	254	2739
85	255	2718
86	257	2699
87	258	2680
88	259	2660
89	261	2641
90	262	2622
91	263	2604
92	265	2586
93	266	2569
94	267	2552
95	269	2535
96	270	2520
97	272	2505
98	273	2490
99	275	2475
100	276	2461
101	277	2446
102	279	2431
103	280	2417
104	281	2403
105	283	2389
106	284	2374
107	285	2360
108	287	2347
109	288	2334
110	289	2320
111	290	2306
112	292	2293
113	293	2280
114	294	2266
115	295	2255
116	297	2242
117	298	2230
118	299	2218
119	300	2206
120	302	2194
121	303	2183
122	304	2172
123	305	2161
124	307	2150
125	308	2139
126	309	2128
127	310	2118
128	312	2107
129	313	2097
130	314	2087
131	316	2078
132	317	2067
133	318	2057
134	319	2047
135	320	2038
136	322	2028
137	323	2020
138	324	2011
139	325	2001
140	327	1992
141	328	1983
142	329	1975
143	331	1968
144	332	1960
145	333	1951
146	334	1943
147	336	1935
148	337	1926
149	338	1918
150	339	1910
151	340	1902
152	342	1894
153	343	1887
154	344	1880
155	346	1872
156	347	1864
157	348	1857
158	349	1850
159	351	1843
160	352	1836
161	353	1829
162	354	1822
163	356	1815
164	357	1808
165	358	1801
166	359	1794
167	361	1787
168	362	1781
169	363	1774
170	364	1767
171	365	1761
172	367	1754
173	368	1748
174	369	1742
175	370	1736
176	372	1730
177	373	1724
178	374	1718
179	375	1712
180	377	1706
181	378	1700
182	379	1694
183	380	1689
184	382	1683
185	383	1677
186	384	1671
187	385	1666
188	386	1660
189	388	1655
190	389	1649
191	391	1645
192	392	1641
193	393	1636
194	395	1632
195	396	1627
196	398	1623
197	399	1618
198	401	1614
199	402	1610
200	403	1605
201	405	1601
202	406	1596
203	407	1591
204	409	1587
205	410	1582
206	411	1577
207	413	1573
208	414	1569
209	416	1565
210	417	1561
211	418	1556
212	420	1552
213	421	1547
214	422	1542
215	423	1538
216	425	1533
217	426	1528
218	427	1524
219	428	1520
220	429	1515
221	431	1510
222	432	1506
223	433	1501
224	434	1497
225	435	1493
226	437	1489
227	438	1484
228	439	1480
229	440	1475
230	442	1471
231	443	1467
232	444	1463
233	445	1458
234	446	1454
235	448	1450
236	449	1446
237	450	1442
238	451	1438
239	452	1434
240	454	1430
241	455	1426
242	456	1422
243	457	1418
244	458	1414
245	460	1410
246	461	1406
247	462	1402
248	463	1398
249	464	1394
250	466	1391
251	467	1387
252	468	1383
253	469	1379
254	470	1376
255	472	1372
256	473	1368
257	474	1365
258	475	1361
259	477	1358
260	478	1354
261	479	1350
262	480	1347
263	482	1344
264	483	1341
265	484	1338
266	486	1334
267	487	1331
268	488	1328
269	489	1324
